year,round,college_code,college_name,course,seat_type,nri_seats,other_seats,total_seats,fee_per_annum
2021,MOPUP,M002,"Dr.AMC, Bangalore",MBBS,OTHERS,0,20,20,3687450
2021,MOPUP,M003,"KIMS, Bangalore",MBBS,OTHERS,0,5,5,3612450
2021,MOPUP,M005,"KBNIMS, Gulbarga",MBBS,OTHERS,0,30,30,4012450
2021,MOPUP,M008,"MVJMC, Channasandra, Bangalor",MBBS,OTHERS,0,30,30,3215500
2021,MOPUP,M009,"VIMSRC, Bangalore",MBBS,OTHERS,0,14,14,4012450
2021,MOPUP,M010,"AJIMS, Mangalore",MBBS,OTHERS,0,22,22,3900000
2021,MOPUP,M020,"SBMC, Chitradurga",MBBS,OTHERS,0,20,20,4012450
2021,MOPUP,M061,"JJMMC, Davangere District",MBBS,OTHERS,0,47,47,4512450
2021,MOPUP,M062,"SSIMS, Davangere",MBBS,OTHERS,0,40,40,4512450
2021,MOPUP,M064,"SGIMS, Bangalore",MBBS,OTHERS,0,50,50,6012450
2021,MOPUP,M065,"SIMRC, Mangalore",MBBS,OTHERS,0,27,27,4212450
2021,MOPUP,M067,"TSMC, Shimoga",MBBS,OTHERS,0,39,39,3312450
2021,MOPUP,M068,"BGSGIMS, Kengeri, Bangalore",MBBS,OTHERS,0,15,15,4512450
2021,MOPUP,M069,"SIMSRIH, Tumkur",MBBS,OTHERS,0,24,24,3612450
2021,MOPUP,M071,"OMC, Bangalore",MBBS,OTHERS,0,30,30,3412450
2021,MOPUP,M078,"AKIMSRC, Bangalore",MBBS,OTHERS,0,29,29,3912450
2021,MOPUP,M079,"KAMC, Mangalore",MBBS,OTHERS,0,29,29,3012450
